 id,name,category,price
apfel_soda_05,Apfel Soda 0.5,Alkoholfrei,49
apfel_soda_025,Apfel Soda 0.25,Alkoholfrei,3.7
apfel_wasser_05,Apfel Wasser 0.5,Alkoholfrei,4.9
apfel_wasser_025,Apfel Wasser 0.25,Alkoholfrei,3.7
johann_soda_05,Johann Soda 0.5,Alkoholfrei,4.9
johann_soda_025,Johann Soda 0.25,Alkoholfrei,3.7
johann_wasser_05,Johann Wasser 0.5,Alkoholfrei,4.9
johann_wasser_025,Johann Wasser 0.25,Alkoholfrei,3.7
cola_05,Cola 0.5,Alkoholfrei,4.9
cola_025,Cola 0.25,Alkoholfrei,3.7
spezi_05,Spezi 0.5,Alkoholfrei,4.9
spezi_025,Spezi 0.25,Alkoholfrei,3.7
zitro_05,Zitro 0.5,Alkoholfrei,4.9
zitro_025,Zitro 0.25,Alkoholfrei,3.7
skiwa_05,Skiwasser 0.5,Alkoholfrei,4.1
skiwa_025,Skiwasser 0.25,Alkoholfrei,3.5
hola_05,Hollunder 0.5,Alkoholfrei,4.4
hola_025,Hollunder 0.25,Alkoholfrei,3.6
almi,Almdudler 0.33,Alkoholfrei,3.8
mineral_033,Mineral 0.33,Alkoholfrei,3
mineral_075,Mineral 0.75,Alkoholfrei,4.9
leitungswa,Leitungswasser,Alkoholfrei,0
bergsteigergetraenk,Bergsteigergetränk,Alkoholfrei,3
soda_zitron_05,Soda Zitron 0.5,Alkoholfrei,2.8
soda_zitron_025,Soda Zitron 0.25,Alkoholfrei,1.4
bier_05,Bier 0.5,Bier,5
bier_03,Bier 0.3,Bier,4
weiz_hell_05,Weizen hell 0.5,Bier,5.4
weiz_hell_03,Weizen hell 0.3,Bier,4.4
radler_05,Radler 0.5,Bier,5.4
radler_03,Radler 0.3,Bier,4.4
russ_05,Russ 0.5,Bier,5.4
weiz_cola_05,Weizen Cola 0.5,Bier,5.4
weiz_dunkel_05,Weizen dunkel 0.5,Bier,5.4
weiz_alkfrei_05,Weizen Alkoholfrei 0.5,Bier,5.4
veltliner_8,Veltliner 1/8,Wein,3.3
veltliner_4,Veltliner 1/4,Wein,6.6
kalterer_8,Kalterer 1/8,Wein,3.3
kalterer_4,Kalterer 1/4,Wein,6.6
zweigelt_8,Zweigelt 1/8,Wein,3.3
zweigelt_4,Zweigelt 1/4,Wein,6.6
spritzer_025,Spritzer 0.25,Wein,4
spritzer_05,Spritzer 0.5,Wein,8
aperol,Aperol,Wein,7.5
birne_2,Birne 2cl,Schnaps,3.3
marille_2,Marille 2cl,Schnaps,3.3
obstler_2,Obstler 2cl,Schnaps,3.3
haselnuss_2,Haselnuss 2cl,Schnaps,3.3
meisterwurz_2,Meisterwurz 2cl,Schnaps,3.3
birne_4,Birne 4cl,Schnaps,6.6
marille_4,Marille 4cl,Schnaps,6.6
obstler_4,Obstler 4cl,Schnaps,6.6
haselnuss_4,Haselnuss 4cl,Schnaps,6.6
meisterwurz_4,Meisterwurz 4cl,Schnaps,6.6
jaegermeister,Jägermeister,Schnaps,3.3
ruescherl,Rüscherl,Schnaps,3.3
caffe,Kaffe,Heiß,3.6
capuccino,Capuccino,Heiß,3.9
espresso,Espresso,Heiß,2.9
kakao_sahne,Heiße Schoko Sahne,Heiß,3.9
kakao,Heiße Schoko ohne Sahne,Heiß,3.9
fruechtetee,Früchte Tee,Heiß,3
schwarztee,Schwarzer Tee,Heiß,3
pfefferminztee,Pfefferminz Tee,Heiß,3
kamillentee,Kamillen Tee,Heiß,3
kraeutertee,Kräuter Tee,Heiß,3
teewasser_05,Teewasser 0.5,Heiß,1.5
teewasser_1,Teewasser 1l,Heiß,3
landjaeger,Landjäger,Jause,8.8
kaminwurze,Kaminwurze,Jause,8.8
frankfurter,Frankfurter,Jause,7.8
brettl,Brettljause,Jause,13.5
speckbrot,Speckbrot,Jause,7.8
kaesebrot,Käsebrot,Jause,7.8
sktoast,Schinken-Käse-Toast,Jause,7.8
ktoast,Käse-Toast,Jause,7.8
weisswurst,Weißwurst,Jause,8.9
nudelsu,Nudelsuppe,Suppen,6.9
nudelsu_wuerstl,Nudelsuppe Würstl,Suppen,8.9
backerbsensu,Backerbsensuppe,Suppen,6.9
gulaschsu,Gulaschsuppe,Suppen,8.9
speckknsu,Speckknödelsuppe,Suppen,12.9
speckknsu1,Speckknödelsuppe 1K,Suppen,10.9
kaspresssu,Kaspressknödelsuppe,Suppen,12.9
kaspresssu1,Kaspressknödelsuppe 1K,Suppen,10.9
tagessu,Tagessuppe,Suppen,6.9
klaresu,Klare Suppe,Suppen,4
bergsteigeressen,Bergsteigeressen,Haupt.,11
tagesgericht,Tagesgericht,Haupt.,14.9
schnipo,Schnitzel Pommes,Haupt.,16.6
schnisa,Schnitzel Salat,Haupt.,16.6
spagbolo,Spaghetti Bolo,Haupt.,13.5
spagtomate,Spaghetti Tomate,Haupt.,12.9
taglia,Tagliatelle,Haupt.,14.9
kaesesp,Käsespätzle,Haupt.,13.5
gulasch_knoedel,Gulasch Knödel,Haupt.,17.8
gulasch_pommes,Gulasch Pommes,Haupt.,17.8
gulasch_nudeln,Gulasch Nudeln,Haupt.,17.8
currywurst,Currywurst,Haupt.,13.5
grillwu_pom,Grillwürstl Pommes,Haupt.,13.5
grillwu_salat,Grillwürstl Salat,Haupt.,13.5
spinatkn_salat,Spinatknödel Salat,Haupt.,13.5
spinatkn_sauer,Spinatknödel Sauer,Haupt.,13.5
speckkn_salat,Speckknödel Salat,Haupt.,13.5
speckkn_sauer,Speckknödel Sauer,Haupt.,13.5
kaspress_salat,Kaspressknödel Salat,Haupt.,13.5
kaspress_sauer,Kaspressknödel Sauer,Haupt.,13.5
spinatkn_salat1,Spinatknödel Salat 1K,Haupt.,11
spinatkn_sauer1,Spinatknödel Sauer 1K,Haupt.,11
speckkn_salat1,Speckknödel Salat 1K,Haupt.,11
speckkn_sauer1,Speckknödel Sauer 1K,Haupt.,11
kaspress_salat1,Kaspressknödel Salat 1K,Haupt.,11
kaspress_sauer1,Kaspressknödel Sauer 1K,Haupt.,11
gemuese_groestl,Gemüse Gröstl,Haupt.,13.5
gemuese_groestl_ei,Gemüse Gröstl Ei,Haupt.,14.5
bolo_gluten,Spaghetti Bolo glutenfrei,Haupt.,13.5
tomaten_gluten,Spaghetti Tomaten glutenfrei,Haupt.,12.9
pfeffer_gluten,Spaghetti Pfeffer glutenfrei,Haupt.,14.9
stripssa,Strips Salat,Salate,14.5
fitnesssa,Fitness Salat,Salate,14.5
kleinersa,kleiner Salat,Salate,6.6
grossersa,großer Salat,Salate,8.9
tagessa,Tages Salat,Salate,9.2
ki_schnipo,KI Schnitzel Pommes,Kinder,12.6
ki_schnisa,KI Schnitzel Salat,Kinder,12.6
ki_spagbolo,KI Spaghetti Bolo,Kinder,8.7
ki_spagtomate,KI Spaghetti Tomate,Kinder,8.7
ki_butternudeln,KI Butternudeln,Kinder,7.7
ki_butternudeln_parm,KI Butternudeln Parmesan,Kinder,8.7
kaiserschmarrn,Kaiserschmarrn,Dessert,14.8
germknoedel_butter,Germknödel Butter,Dessert,9.5
germknoedel_vanille,Germknödel Vanillesauce,Dessert,9.5
apfelstrudel,Apfelstrudel,Dessert,6.2
apfelstrudel_sahne,Apfelstrudel Sahne,Dessert,7.5
apfelstrudel_vanille,Apfelstrudel Vanille,Dessert,7.5
apfelstrudel_vanille_sahne,Apfelstrudel Vanille Sahne,Dessert,8.8
schokokuchen,Schokokuchen,Dessert,6.9
schokokuchen_ohne,Schokokuchen ohne Sahne,Dessert,5.9
eiskaffe,Eiskaffe,Dessert,6.9
kuchen,Kuchen,Dessert,5.5
kuchen_sahne,Kuchen Sahne,Dessert,6.8
kuchen_vanille,Kuchen Vanille,Dessert,6.8
kuchen_vanille_sahne,Kuchen Vanille Sahne,Dessert,8.1
topfenknoe_marille,Topfenknödel Marille,Dessert,6.9
topfenknoe_nougat,Topfenknödel Nougat,Dessert,6.9
tagesdessert,Tagesdessert,Dessert,5.9
hp_dessert,HP Dessert,Dessert,5
kugel_eis,Kugel Eis,Dessert,2.5
kugel_eis_sahne,Kugel Eis Sahne,Dessert,3
kugel_eis_schoko,Kugel Eis Schoko,Dessert,3
kugel_eis_sahne_schoko,Kugel Eis Sahne Schoko,Dessert,3.5
pommes_kl,Pommes klein,Extras,4
pommes_gr,Pommes groß,Extras,7.5
port_vanille,Portion Vanille,Extras,2
port_sahne,Portion Sahne,Extras,1.5
spiegelei,Spiegelei,Extras,1.5
port_apfelmus,Portion Apfelmus,Extras,2
port_preisel,Portion Preiselbeeren,Extras,2
port_sauce,Portion Sauce,Extras,1.5
